Scopus refine results values

"Your query : (TITLE-ABS-KEY(""tremor suppression"" OR ""suppression of tremor"" OR ""tremor compensation"" OR ""compensation of tremor"") AND ( LIMIT-TO ( DOCTYPE,""re"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 25

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,,,,,,,,,,,"Computer Monitors","1",,,,,,,,,,
,,,,,,,,,,,,,,"Computer System","1",,,,,,,,,,
,,,,,,,,,,,,,,"Computers","1",,,,,,,,,,
,,,,,,,,,,,,,,"Consensus","1",,,,,,,,,,
,,,,,,,,,,,,,,"Control Strategy","1",,,,,,,,,,
,,,,,,,,,,,,,,"Controlled Study","1",,,,,,,,,,
,,,,,,,,,,,,,,"Current Status","1",,,,,,,,,,
,,,,,,,,,,,,,,"Daily Activity","1",,,,,,,,,,
,,,,,,,,,,,,,,"Data Extraction","1",,,,,,,,,,
,,,,,,,,,,,,,,"Data Quality Assessment","1",,,,,,,,,,
,,,,,,,,,,,,,,"Data Synthesis","1",,,,,,,,,,
,,,,,,,,,,,,,,"Dbs","1",,,,,,,,,,
,,,,,,,,,,,,,,"Dbs Surgical Technique","1",,,,,,,,,,
,,,,,,,,,,,,,,"Dbs Targets","1",,,,,,,,,,
,,,,,,,,,,,,,,"Degree Of Freedom","1",,,,,,,,,,
,,,,,,,,,,,,,,"Design And Optimization","1",,,,,,,,,,
,,,,,,,,,,,,,,"Development Trends","1",,,,,,,,,,
,,,,,,,,,,,,,,"Diagnosis, Differential","1",,,,,,,,,,
,,,,,,,,,,,,,,"Diagnostic Accuracy","1",,,,,,,,,,
